algorithm,outcome,model,feature_set,rsq_median,rsq_sd
glmnet,continuous,poisson,raw,0.007184243738377951,0.09383423261721305
glmnet,continuous,normal,raw,0.009799539552873677,0.033129910909166296
glmnet,continuous,poisson,prop,0.13732945295084756,0.09437397620829001
glmnet,continuous,normal,prop,0.1355556938736887,0.09127850530390044
glmnet,continuous,poisson,incoming,0.0461482454549032,0.0813260134606441
glmnet,continuous,normal,incoming,0.04989212661606609,0.07416460808864865
glmnet,continuous,poisson,outgoing,0.03901985765737867,0.10563373058003622
glmnet,continuous,normal,outgoing,0.04868555763385054,0.07886423174868461
glmnet,continuous,poisson,raw_incoming,0.016151617219811537,0.0451316484647132
glmnet,continuous,normal,raw_incoming,0.00644962930786509,0.027051582213892606
glmnet,continuous,poisson,raw_outgoing,0.007086325815909201,0.04394667053772552
glmnet,continuous,normal,raw_outgoing,0.005712612515371892,0.06526142836390626
glmnet,continuous,poisson,all,0.0368741925085872,0.08264567294756861
glmnet,continuous,normal,all,0.03376186259945673,0.07187210533308602
