algorithm,outcome,model,feature_set,rsq_mean,rsq_sd,feature_file,id,roc_auc_mean,roc_auc_sd
random_forest,continuous,poisson,baseline,0.1421703793010228,0.02169664660773709,features_baseline,1,NA,NA
random_forest,continuous,normal,baseline,0.1421703793010228,0.02169664660773709,features_baseline,2,NA,NA
random_forest,binary_high_low,logistic,baseline,NA,NA,features_baseline,3,0.7363768115942029,0.016844412125289455
random_forest,continuous,poisson,raw,0.10600133483128997,0.01889241791592516,features_v1,4,NA,NA
random_forest,continuous,poisson,prop,0.1232270116110631,0.01927250949870835,features_v1,5,NA,NA
random_forest,continuous,poisson,all,0.10988556282842524,0.020449011848157155,features_v1,6,NA,NA
random_forest,continuous,normal,raw,0.10600133483128997,0.01889241791592516,features_v1,7,NA,NA
random_forest,continuous,normal,prop,0.1232270116110631,0.01927250949870835,features_v1,8,NA,NA
random_forest,continuous,normal,all,0.10988556282842524,0.020449011848157155,features_v1,9,NA,NA
random_forest,binary_high_low,logistic,raw,NA,NA,features_v1,10,0.7401932367149758,0.016707492361961767
random_forest,binary_high_low,logistic,prop,NA,NA,features_v1,11,0.7289371980676329,0.01950697871946844
random_forest,binary_high_low,logistic,all,NA,NA,features_v1,12,0.7258937198067633,0.019965728498414312
random_forest,continuous,poisson,raw,0.11906125727988148,0.02016344846120583,features_v2,13,NA,NA
random_forest,continuous,poisson,prop,0.1268413045944031,0.023202806336563728,features_v2,14,NA,NA
random_forest,continuous,poisson,all,0.1078429797024222,0.019391444655133434,features_v2,15,NA,NA
random_forest,continuous,normal,raw,0.11906125727988148,0.02016344846120583,features_v2,16,NA,NA
random_forest,continuous,normal,prop,0.1268413045944031,0.023202806336563728,features_v2,17,NA,NA
random_forest,continuous,normal,all,0.1078429797024222,0.019391444655133434,features_v2,18,NA,NA
random_forest,binary_high_low,logistic,raw,NA,NA,features_v2,19,0.7502415458937198,0.019111234405991943
random_forest,binary_high_low,logistic,prop,NA,NA,features_v2,20,0.7036231884057971,0.019746630887813647
random_forest,binary_high_low,logistic,all,NA,NA,features_v2,21,0.6965700483091788,0.022090610050274483
random_forest,continuous,poisson,raw,0.1029132464970578,0.01730065622620195,features_v3,22,NA,NA
random_forest,continuous,poisson,prop,0.10713699137590771,0.016101868512183003,features_v3,23,NA,NA
random_forest,continuous,poisson,all,0.08867244573982148,0.014370852339652825,features_v3,24,NA,NA
random_forest,continuous,normal,raw,0.1029132464970578,0.01730065622620195,features_v3,25,NA,NA
random_forest,continuous,normal,prop,0.10713699137590771,0.016101868512183003,features_v3,26,NA,NA
random_forest,continuous,normal,all,0.08867244573982148,0.014370852339652825,features_v3,27,NA,NA
random_forest,binary_high_low,logistic,raw,NA,NA,features_v3,28,0.7325845410628019,0.017017346685330042
random_forest,binary_high_low,logistic,prop,NA,NA,features_v3,29,0.7165217391304348,0.01894199947970668
random_forest,binary_high_low,logistic,all,NA,NA,features_v3,30,0.7118357487922705,0.021351882491156143
random_forest,continuous,poisson,raw,0.11181029695522668,0.018103978114114523,features_v4,31,NA,NA
random_forest,continuous,poisson,prop,0.10518549716045617,0.018282061333391157,features_v4,32,NA,NA
random_forest,continuous,poisson,all,0.09745176223332405,0.01678656133951184,features_v4,33,NA,NA
random_forest,continuous,normal,raw,0.11181029695522668,0.018103978114114523,features_v4,34,NA,NA
random_forest,continuous,normal,prop,0.10518549716045617,0.018282061333391157,features_v4,35,NA,NA
random_forest,continuous,normal,all,0.09745176223332405,0.01678656133951184,features_v4,36,NA,NA
random_forest,binary_high_low,logistic,raw,NA,NA,features_v4,37,0.7522705314009662,0.01921486944011612
random_forest,binary_high_low,logistic,prop,NA,NA,features_v4,38,0.6993236714975846,0.020040317605046855
random_forest,binary_high_low,logistic,all,NA,NA,features_v4,39,0.6810628019323671,0.02215994866917023
