algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id,roc_auc_median,roc_auc_sd
xgboost,continuous,poisson,baseline,0.016646297215554967,0.0158070612469898,features_baseline,1,NA,NA
xgboost,continuous,normal,baseline,0.02002545495444919,0.006956430890375172,features_baseline,2,NA,NA
xgboost,binary,logistic,baseline,NA,NA,features_baseline,3,0.4710144927536233,0.02005746365497671
xgboost,continuous,poisson,raw,0.0792054908693326,0.009560234353936917,features_contact_v1,4,NA,NA
xgboost,continuous,poisson,prop,0.046697928725435905,0.011466595251840368,features_contact_v1,5,NA,NA
xgboost,continuous,poisson,all,0.053956611090241934,0.008337940790439858,features_contact_v1,6,NA,NA
xgboost,continuous,normal,raw,0.03325368364152381,0.008904779067141868,features_contact_v1,7,NA,NA
xgboost,continuous,normal,prop,0.10060866412091354,0.01848416176171606,features_contact_v1,8,NA,NA
xgboost,continuous,normal,all,0.10060866412091354,0.018197551015389085,features_contact_v1,9,NA,NA
xgboost,continuous,poisson,raw,0.057825851838575984,0.013406537405638658,features_contact_v2,10,NA,NA
xgboost,continuous,poisson,prop,0.04141700968192906,0.012689298680280212,features_contact_v2,11,NA,NA
xgboost,continuous,poisson,all,0.046145309209779314,0.009639579319580434,features_contact_v2,12,NA,NA
xgboost,continuous,normal,raw,0.020932123390938237,0.009186417190170272,features_contact_v2,13,NA,NA
xgboost,continuous,normal,prop,0.07800388413198678,0.01873799808127832,features_contact_v2,14,NA,NA
xgboost,continuous,normal,all,0.09474041686782897,0.017443674437740926,features_contact_v2,15,NA,NA
xgboost,continuous,poisson,raw,0.06840050875873485,0.01052575056136369,features_contact_v3,16,NA,NA
xgboost,continuous,poisson,prop,0.07825252558247858,0.011016313177926831,features_contact_v3,17,NA,NA
xgboost,continuous,poisson,all,0.07945285830568435,0.010425418363739301,features_contact_v3,18,NA,NA
xgboost,continuous,normal,raw,0.030780976607854338,0.012693615669891502,features_contact_v3,19,NA,NA
xgboost,continuous,normal,prop,0.11525655176806951,0.01714650752487197,features_contact_v3,20,NA,NA
xgboost,continuous,normal,all,0.11525655176806951,0.01714650752487197,features_contact_v3,21,NA,NA
xgboost,continuous,poisson,raw,0.06346313166497805,0.012909890107458851,features_contact_v4,22,NA,NA
xgboost,continuous,poisson,prop,0.08263450511795414,0.016093007037778655,features_contact_v4,23,NA,NA
xgboost,continuous,poisson,all,0.0869456849728372,0.01602739021259374,features_contact_v4,24,NA,NA
xgboost,continuous,normal,raw,0.024463500121941498,0.005808159114152145,features_contact_v4,25,NA,NA
xgboost,continuous,normal,prop,0.11525655176806951,0.01714650752487197,features_contact_v4,26,NA,NA
xgboost,continuous,normal,all,0.11525655176806951,0.01714650752487197,features_contact_v4,27,NA,NA
xgboost,binary,logistic,raw,NA,NA,features_contact_v1,28,0.6594202898550725,0.022817278372870224
xgboost,binary,logistic,prop,NA,NA,features_contact_v1,29,0.6518115942028985,0.018543854512630964
xgboost,binary,logistic,all,NA,NA,features_contact_v1,30,0.6891304347826086,0.02124684854638534
xgboost,binary,logistic,raw,NA,NA,features_contact_v2,31,0.6108695652173913,0.02261317169236194
xgboost,binary,logistic,prop,NA,NA,features_contact_v2,32,0.66557971014492745,0.022258404732286966
xgboost,binary,logistic,all,NA,NA,features_contact_v2,33,0.6666666666666667,0.02627187806345857
xgboost,binary,logistic,raw,NA,NA,features_contact_v3,34,0.605072463768116,0.02147382110987763
xgboost,binary,logistic,prop,NA,NA,features_contact_v3,35,0.6829710144927537,0.017892736222732804
xgboost,binary,logistic,all,NA,NA,features_contact_v3,36,0.6829710144927537,0.017110078023142274
xgboost,binary,logistic,raw,NA,NA,features_contact_v4,37,0.625,0.022117289501160962
xgboost,binary,logistic,prop,NA,NA,features_contact_v4,38,0.6847826086956522,0.024238949802784307
xgboost,binary,logistic,all,NA,NA,features_contact_v4,39,0.6811594202898551,0.0204423350602376
xgboost,continuous,poisson,raw,0.06290083631778423,0.010608125089095786,features_full_v1,40,NA,NA
xgboost,continuous,poisson,prop,0.044520784313973466,0.01348552232576205,features_full_v1,41,NA,NA
xgboost,continuous,poisson,all,0.051170838629167284,0.008952805585728599,features_full_v1,42,NA,NA
xgboost,continuous,normal,raw,0.026985663640399678,0.010802054118345034,features_full_v1,43,NA,NA
xgboost,continuous,normal,prop,0.10060866412091354,0.01848416176171606,features_full_v1,44,NA,NA
xgboost,continuous,normal,all,0.10060866412091354,0.018197551015389085,features_full_v1,45,NA,NA
xgboost,continuous,poisson,raw,0.057825851838575984,0.0135847924170482,features_full_v2,46,NA,NA
xgboost,continuous,poisson,prop,0.044305678172152835,0.014215912295005295,features_full_v2,47,NA,NA
xgboost,continuous,poisson,all,0.050918366026965325,0.017197508137969587,features_full_v2,48,NA,NA
xgboost,continuous,normal,raw,0.025090540404857305,0.0126930483503512,features_full_v2,49,NA,NA
xgboost,continuous,normal,prop,0.07800388413198678,0.01873799808127832,features_full_v2,50,NA,NA
xgboost,continuous,normal,all,0.10863252425653241,0.016807248882683527,features_full_v2,51,NA,NA
xgboost,continuous,poisson,raw,0.07077603338189162,0.010332796541864689,features_full_v3,52,NA,NA
xgboost,continuous,poisson,prop,0.07548738005768885,0.015230788618084596,features_full_v3,53,NA,NA
xgboost,continuous,poisson,all,0.07945285830568435,0.010447403284633068,features_full_v3,54,NA,NA
xgboost,continuous,normal,raw,0.020325198834551347,0.007136030087368371,features_full_v3,55,NA,NA
xgboost,continuous,normal,prop,0.11525655176806951,0.01714650752487197,features_full_v3,56,NA,NA
xgboost,continuous,normal,all,0.11525655176806951,0.01714650752487197,features_full_v3,57,NA,NA
xgboost,continuous,poisson,raw,0.0496197568415096,0.010144643616726555,features_full_v4,58,NA,NA
xgboost,continuous,poisson,prop,0.07944804667735772,0.017367117739412383,features_full_v4,59,NA,NA
xgboost,continuous,poisson,all,0.07451251687450174,0.016721542557074705,features_full_v4,60,NA,NA
xgboost,continuous,normal,raw,0.022263859099039635,0.010820641702812566,features_full_v4,61,NA,NA
xgboost,continuous,normal,prop,0.11525655176806951,0.01714650752487197,features_full_v4,62,NA,NA
xgboost,continuous,normal,all,0.11525655176806951,0.01714650752487197,features_full_v4,63,NA,NA
xgboost,binary,logistic,raw,NA,NA,features_full_v1,64,0.6137681159420291,0.02346147656517535
xgboost,binary,logistic,prop,NA,NA,features_full_v1,65,0.6518115942028985,0.018543854512630964
xgboost,binary,logistic,all,NA,NA,features_full_v1,66,0.6891304347826086,0.021070560862400965
xgboost,binary,logistic,raw,NA,NA,features_full_v2,67,0.6141304347826088,0.023909849996337607
xgboost,binary,logistic,prop,NA,NA,features_full_v2,68,0.66557971014492745,0.022308359952529194
xgboost,binary,logistic,all,NA,NA,features_full_v2,69,0.6699275362318842,0.022587567866969794
xgboost,binary,logistic,raw,NA,NA,features_full_v3,70,0.5891304347826086,0.023282032719466293
xgboost,binary,logistic,prop,NA,NA,features_full_v3,71,0.6829710144927537,0.017892736222732804
xgboost,binary,logistic,all,NA,NA,features_full_v3,72,0.6829710144927537,0.017110078023142274
xgboost,binary,logistic,raw,NA,NA,features_full_v4,73,0.625,0.02211168040619684
xgboost,binary,logistic,prop,NA,NA,features_full_v4,74,0.6847826086956522,0.024256633111461146
xgboost,binary,logistic,all,NA,NA,features_full_v4,75,0.6811594202898551,0.0204423350602376
